Puffer1,Puffer2,Puffer3,Puffer4,Puffer5,Prozessdauer,Gesamtzeit
0.117,0.021,0.474,0.822,0.914,716,726.0682666666667
0.036,0.004,0.25,0.063,0.615,119,122.84626666666666
0.524,0.349,0.999,0.307,0.965,604,616.3263999999999
0.243,0.071,0.83,0.42,0.636,393,400.735
0.941,0.517,0.062,0.266,0.887,668,679.7453333333333
0.017,0.419,0.185,0.981,0.258,552,559.0655999999999
0.051,0.917,0.336,0.229,0.116,387,391.6816
0.161,0.052,0.606,0.797,0.856,607,613.3673333333334
0.716,0.935,0.102,0.5,0.753,406,419.2740666666666
0.651,0.62,0.348,0.032,0.818,655,661.6761333333334
0.425,0.923,0.162,0.328,0.035,420,425.0928
0.793,0.684,0.238,0.262,0.923,470,476.8304
0.122,0.976,0.887,0.594,0.013,195,202.6544
0.507,0.884,0.13,0.767,0.462,519,525.9706000000001
0.191,0.069,0.959,0.96,0.57,288,299.87519999999995
0.68,0.908,0.218,0.679,0.401,197,207.49466666666666
0.115,0.62,0.093,0.832,0.221,676,684.4938000000001
0.937,0.399,0.581,0.223,0.715,549,557.4746666666666
0.217,0.435,0.288,0.147,0.165,683,687.7096
0.786,0.581,0.271,0.427,0.697,716,723.954
0.759,0.321,0.149,0.341,0.724,421,429.1984
0.067,0.324,0.577,0.901,0.062,214,220.36
0.744,0.618,0.873,0.787,0.159,708,714.8336
0.648,0.281,0.225,0.326,0.218,226,229.13793333333334
0.016,0.852,0.501,0.767,0.3,588,596.3104000000001
0.59,0.612,0.874,0.579,0.214,428,432.6932
0.725,0.3,0.936,0.746,0.96,433,442.5336
0.48,0.917,0.9,0.314,0.429,394,399.61
0.816,0.845,0.415,0.879,0.988,385,406.9726
0.948,0.473,0.878,0.476,0.919,102,110.82159999999999
0.983,0.49,0.12,0.316,0.781,335,340.9936
0.772,0.348,0.205,0.145,0.69,185,194.7808
0.983,0.334,0.337,0.533,0.668,150,157.59173333333334
0.645,0.874,0.945,0.952,0.135,560,571.6532
0.338,0.093,0.141,0.645,0.831,602,608.1456000000001
0.351,0.873,0.232,0.104,0.966,199,206.50306666666665
0.236,0.84,0.407,0.66,0.786,616,630.8840666666666
0.138,0.201,0.017,0.301,0.359,388,393.74399999999997
0.883,0.175,0.432,0.877,0.046,264,269.0136
0.174,0.08,0.52,0.958,0.947,321,331.461
0.078,0.245,0.399,0.358,0.033,191,193.0172
0.976,0.016,0.202,0.907,0.691,57,63.3778
0.803,0.951,0.711,0.656,0.049,179,184.138
0.354,0.6,0.215,0.439,0.081,490,493.488
0.548,0.651,0.294,0.571,0.258,243,250.98760000000001
0.185,0.159,0.495,0.474,0.647,168,175.5936
0.598,0.905,0.7,0.603,0.627,45,57.065999999999995
0.82,0.737,0.067,0.858,0.13,343,348.70006666666666
0.851,0.051,0.233,0.91,0.51,143,148.7508
0.007,0.433,0.159,0.93,0.034,142,147.93866666666668
0.69,0.61,0.821,0.765,0.55,578,587.5041333333332
0.036,0.591,0.149,0.634,0.51,275,287.1518
0.935,0.598,0.174,0.157,0.135,451,456.80213333333336
0.135,0.574,0.676,0.559,0.071,356,366.6236
0.969,0.285,0.764,0.722,0.725,415,423.9648
0.599,0.764,0.012,0.76,0.985,75,83.10239999999999
0.1,0.477,0.916,0.061,0.944,138,152.0256
0.512,0.4,0.548,0.556,0.54,332,341.456
0.222,0.755,0.288,0.269,0.344,49,55.470400000000005
0.575,0.985,0.707,0.571,0.514,56,64.88533333333334
0.759,0.686,0.098,0.343,0.306,635,641.3924000000001
0.985,0.933,0.404,0.153,0.292,201,207.953
0.503,0.242,0.117,0.519,0.403,436,441.0670666666667
0.541,0.459,0.401,0.163,0.937,490,496.3992
0.288,0.073,0.97,0.274,0.195,681,689.303
0.285,0.482,0.684,0.497,0.714,535,545.6308
0.113,0.838,0.935,0.718,0.331,297,310.37746666666663
0.028,0.875,0.008,0.808,0.978,316,332.54
0.128,0.702,0.017,0.764,0.543,426,433.84426666666667
0.676,0.567,0.705,0.098,0.381,167,176.1256
0.694,0.648,0.508,0.883,0.17,468,481.16
0.11,0.625,0.736,0.408,0.398,170,176.23133333333334
0.61,0.484,0.806,0.911,0.23,162,170.204
0.594,0.756,0.085,0.033,0.877,625,634.1706666666666
0.915,0.915,0.695,0.235,0.984,285,299.25333333333333
0.766,0.212,0.267,0.286,0.413,218,224.93333333333334
0.173,0.722,0.376,0.068,0.655,201,207.71146666666667
0.986,0.745,0.436,0.219,0.497,457,467.003
0.256,0.076,0.298,0.767,0.108,323,329.5466666666667
0.05,0.413,0.504,0.678,0.389,694,703.3933333333333
0.343,0.618,0.801,0.279,0.534,660,676.0538666666666
0.332,0.087,0.983,0.046,0.251,277,282.8728
0.988,0.883,0.372,0.402,0.433,518,528.1906666666667
0.927,0.358,0.668,0.219,0.376,524,532.9642
0.087,0.706,0.697,0.954,0.14,384,392.106
0.8,0.321,0.308,0.727,0.639,545,555.1628000000001
0.442,0.086,0.369,0.133,0.826,499,508.36173333333335
0.936,0.776,0.784,0.382,0.825,441,449.3944
0.55,0.701,0.339,0.04,0.516,587,591.5672
0.06,0.608,0.256,0.391,0.922,503,515.6009333333333
0.234,0.329,0.872,0.493,0.202,113,122.51866666666668
0.221,0.514,0.948,0.664,0.88,425,434.66246666666666
0.268,0.239,0.297,0.298,0.451,412,416.7450666666667
0.245,0.494,0.014,0.684,0.945,451,461.4832
0.997,0.753,0.995,0.88,0.287,609,620.8353999999999
0.353,0.772,0.415,0.067,0.336,617,622.4293333333334
0.423,0.012,0.766,0.125,0.294,677,685.1726666666666
0.093,0.61,0.274,0.229,0.244,337,340.98626666666667
0.583,0.184,0.336,0.889,0.425,695,702.1306666666667
0.407,0.752,0.436,0.592,0.513,134,144.32586666666666
0.168,0.762,0.701,0.43,0.655,532,546.6500000000001
0.151,0.456,0.516,0.017,0.755,329,334.1632
0.026,0.504,0.599,0.591,0.518,255,264.861
0.43,0.662,0.23,0.489,0.116,164,173.96
0.636,0.966,0.662,0.877,0.363,151,163.5108666666667
0.125,0.689,0.164,0.168,0.434,82,86.51453333333333
0.07,0.97,0.675,0.656,0.496,393,403.96680000000003
0.422,0.294,0.096,0.48,0.007,661,665.7710666666667
0.824,0.534,0.043,0.6,0.493,479,492.772
0.276,0.004,0.115,0.515,0.918,176,186.1906
0.981,0.912,0.649,0.653,0.502,133,143.5322666666667
0.678,0.543,0.342,0.631,0.869,610,619.0150666666666
0.054,0.521,0.546,0.955,0.92,590,599.6668000000001
0.181,0.634,0.769,0.9,0.39,114,124.5468
0.996,0.153,0.977,0.773,0.555,566,575.4266666666666
0.959,0.063,0.541,0.471,0.278,371,380.5712
0.295,0.277,0.564,0.975,0.925,153,165.54146666666665
0.619,0.462,0.219,0.447,0.972,649,659.6176
0.053,0.126,0.935,0.958,0.343,167,177.96553333333333
0.541,0.896,0.319,0.676,0.905,144,159.4278666666667
0.874,0.27,0.644,0.278,0.224,388,392.8342666666667
0.63,0.784,0.127,0.476,0.785,501,513.3317333333333
0.205,0.954,0.362,0.199,0.949,392,404.236
0.819,0.928,0.608,0.028,0.973,583,600.6885333333332
0.215,0.321,0.822,0.224,0.443,310,315.1472
0.365,0.813,0.771,0.795,0.036,322,333.75146666666666
0.985,0.044,0.905,0.678,0.497,710,720.782
0.549,0.954,0.808,0.391,0.448,557,568.58
0.385,0.534,0.087,0.759,0.74,331,341.7033333333333
0.76,0.017,0.661,0.013,0.298,326,329.4552
0.135,0.066,0.059,0.156,0.748,205,212.37226666666666
0.204,0.425,0.877,0.032,0.983,52,67.12853333333334
0.778,0.186,0.758,0.244,0.533,423,428.652
0.643,0.413,0.897,0.65,0.243,242,249.44333333333333
0.761,0.734,0.371,0.618,0.429,318,327.02020000000005
0.657,0.557,0.416,0.39,0.828,704,717.9504000000001
0.753,0.361,0.534,0.334,0.722,58,63.88353333333333
0.87,0.643,0.855,0.014,0.017,535,539.862
0.449,0.798,0.395,0.347,0.765,189,198.5687333333333
