Puffer1,Puffer2,Puffer3,Puffer4,Puffer5,Prozessdauer,Gesamtzeit
0.13,0.25,0.729,0.395,0.002,647,664.9218
0.286,0.141,0.786,0.574,0.917,179,213.6514
0.384,0.154,0.548,0.711,0.1,533,559.5066666666667
0.59,0.872,0.614,0.726,0.21,630,657.1
0.077,0.879,0.076,0.432,0.189,116,138.7328
0.715,0.354,0.252,0.591,0.182,598,620.5390666666667
0.722,0.981,0.08,0.869,0.062,626,655.0766666666666
0.796,0.549,0.414,0.507,0.342,505,536.6203999999999
0.847,0.241,0.509,0.319,0.635,441,466.81806666666665
0.064,0.519,0.584,0.976,0.384,156,195.34026666666665
0.318,0.444,0.092,0.113,0.757,400,426.3074
0.075,0.675,0.562,0.849,0.635,571,608.4370666666666
0.915,0.243,0.367,0.795,0.556,378,414.10453333333334
0.387,0.023,0.2,0.735,0.008,173,188.51693333333333
0.69,0.202,0.626,0.116,0.125,418,438.03426666666667
0.224,0.942,0.464,0.77,0.098,275,307.0506666666667
0.463,0.654,0.552,0.047,0.998,682,719.2883333333334
0.075,0.113,0.393,0.308,0.079,450,463.6708
0.576,0.576,0.67,0.541,0.068,446,468.0550666666667
0.844,0.929,0.685,0.374,0.704,399,432.2282
0.919,0.56,0.64,0.732,0.478,209,249.20033333333333
0.407,0.283,0.753,0.668,0.496,228,263.7717333333333
0.027,0.297,0.97,0.797,0.582,49,79.17086666666665
0.16,0.683,0.349,0.027,0.729,67,96.52133333333333
0.031,0.028,0.042,0.027,0.308,112,119.444
0.012,0.307,0.042,0.141,0.368,198,212.9384
0.157,0.498,0.733,0.266,0.476,430,458.09013333333337
0.926,0.41,0.38,0.129,0.711,82,108.9004
0.074,0.621,0.001,0.47,0.446,293,313.6302
0.406,0.939,0.613,0.04,0.328,47,70.69200000000001
0.44,0.561,0.676,0.045,0.428,614,641.974
0.768,0.514,0.44,0.891,0.935,419,469.719
0.142,0.374,0.795,0.089,0.126,273,290.3280666666667
0.913,0.931,0.177,0.453,0.787,682,723.0402666666666
0.459,0.349,0.81,0.683,0.698,131,161.08093333333332
0.306,0.508,0.507,0.404,0.837,325,356.69466666666665
0.943,0.756,0.735,0.102,0.406,63,91.86519999999999
0.621,0.069,0.593,0.702,0.275,322,351.1243333333333
0.143,0.164,0.998,0.504,0.921,93,135.3612
0.241,0.805,0.433,0.539,0.516,553,583.4925333333333
0.263,0.636,0.498,0.23,0.674,477,505.7880666666667
0.836,0.987,0.088,0.752,0.043,304,329.188
0.079,0.801,0.626,0.414,0.031,72,90.258
0.508,0.799,0.473,0.261,0.356,455,480.396
0.544,0.414,0.805,0.731,0.216,120,150.6446
0.236,0.693,0.175,0.429,0.68,494,527.4098
0.777,0.977,0.061,0.639,0.894,59,99.42266666666667
0.632,0.302,0.724,0.024,0.967,539,578.4712666666667
0.076,0.584,0.09,0.832,0.958,427,470.02293333333336
0.586,0.661,0.804,0.122,0.889,672,713.3300666666667
0.058,0.997,0.269,0.386,0.832,94,133.96066666666667
0.409,0.215,0.539,0.773,0.431,503,533.812
0.406,0.587,0.415,0.464,0.043,440,462.848
0.672,0.189,0.462,0.726,0.625,52,89.246
0.622,0.106,0.634,0.25,0.05,416,433.80413333333337
0.676,0.181,0.249,0.315,0.059,223,235.91466666666668
0.015,0.225,0.305,0.515,0.666,318,345.53133333333335
0.154,0.082,0.667,0.698,0.544,225,252.66953333333333
0.388,0.394,0.623,0.159,0.651,271,301.5184
0.291,0.534,0.348,0.637,0.894,514,550.4278666666667
0.569,0.383,0.902,0.642,0.968,597,646.6123333333333
0.211,0.874,0.607,0.179,0.598,341,369.4468
0.013,0.092,0.603,0.409,0.679,240,271.9010666666667
0.091,0.087,0.79,0.671,0.031,269,290.896
0.804,0.462,0.616,0.53,0.536,582,614.9456
0.349,0.287,0.685,0.661,0.347,155,183.93753333333333
0.065,0.539,0.257,0.958,0.115,532,556.0198
0.968,0.568,0.202,0.259,0.327,578,604.905
0.118,0.357,0.966,0.191,0.551,510,536.0964
0.254,0.488,0.791,0.677,0.193,494,523.104
0.64,0.268,0.716,0.773,0.461,428,465.2096
0.691,0.193,0.263,0.001,0.251,245,257.7083333333333
0.587,0.978,0.253,0.102,0.024,454,467.53266666666667
0.623,0.646,0.817,0.107,0.194,638,662.2088
0.511,0.189,0.734,0.019,0.058,331,348.285
0.045,0.622,0.475,0.088,0.907,251,287.4848
0.741,0.572,0.616,0.461,0.616,285,314.4338
0.035,0.793,0.333,0.322,0.314,560,581.5468
0.161,0.348,0.028,0.497,0.013,128,141.97199999999998
0.944,0.248,0.709,0.469,0.121,92,112.9664
0.921,0.182,0.401,0.733,0.704,108,147.336
0.7,0.543,0.916,0.306,0.197,96,117.12806666666668
0.916,0.309,0.409,0.886,0.397,199,230.502
0.859,0.954,0.505,0.601,0.048,111,140.0892
0.143,0.453,0.479,0.191,0.76,67,94.26
0.755,0.726,0.052,0.291,0.525,491,519.2991999999999
0.894,0.198,0.426,0.744,0.775,539,580.4436
0.023,0.529,0.422,0.25,0.397,175,198.4608
0.144,0.847,0.443,0.077,0.122,601,614.072
0.839,0.556,0.804,0.986,0.419,693,735.3014666666667
0.388,0.472,0.253,0.501,0.241,415,440.44
0.014,0.51,0.582,0.782,0.346,720,751.5704
0.142,0.43,0.152,0.911,0.366,539,565.8037333333333
0.51,0.468,0.248,0.46,0.239,366,387.5966666666667
0.774,0.853,0.958,0.095,0.059,646,669.7140666666667
