Puffer1,Puffer2,Puffer3,Puffer4,Puffer5,Prozessdauer,Gesamtzeit
0.627,0.132,0.891,0.357,0.603,316,330.4126
0.783,0.684,0.925,0.616,0.347,558,578.6833333333334
0.252,0.374,0.789,0.471,0.79,685,708.9226
0.987,0.836,0.387,0.726,0.007,457,469.61679999999996
0.956,0.95,0.589,0.238,0.989,48,76.75466666666667
0.268,0.41,0.603,0.205,0.51,290,308.801
0.8,0.507,0.229,0.427,0.338,344,355.0114666666667
0.622,0.673,0.508,0.732,0.617,312,341.1486666666667
0.899,0.313,0.302,0.631,0.111,505,516.7546666666667
0.912,0.608,0.098,0.953,0.594,557,583.9984
0.216,0.829,0.33,0.724,0.78,561,586.116
0.757,0.963,0.568,0.667,0.746,203,235.355
0.826,0.112,0.249,0.118,0.05,416,423.3890666666667
0.369,0.575,0.355,0.695,0.218,428,440.0474666666667
0.81,0.376,0.463,0.693,0.278,85,101.59700000000001
0.226,0.819,0.015,0.494,0.536,534,542.7533333333333
0.532,0.52,0.305,0.439,0.566,569,585.5036666666666
0.443,0.766,0.167,0.05,0.689,424,435.4258666666667
0.154,0.996,0.183,0.895,0.102,226,244.54566666666668
0.464,0.09,0.354,0.408,0.591,68,82.68366666666665
0.351,0.969,0.135,0.811,0.226,461,477.02079999999995
0.164,0.884,0.885,0.592,0.156,533,558.7833333333333
0.67,0.861,0.234,0.315,0.211,308,319.8998
0.004,0.827,0.455,0.62,0.033,242,255.22533333333334
0.678,0.646,0.731,0.161,0.671,165,188.94186666666667
0.749,0.24,0.776,0.464,0.291,195,216.06186666666667
0.511,0.435,0.059,0.335,0.932,661,678.1314666666666
0.095,0.514,0.478,0.079,0.175,194,202.74533333333332
0.601,0.441,0.912,0.939,0.713,494,530.928
0.243,0.502,0.527,0.442,0.377,260,266.481
0.224,0.228,0.687,0.61,0.234,423,438.6658
0.529,0.459,0.193,0.945,0.567,359,382.61873333333335
0.108,0.212,0.885,0.836,0.259,244,266.95626666666664
0.69,0.036,0.701,0.561,0.281,79,94.6336
0.488,0.363,0.185,0.433,0.391,228,241.82186666666666
0.879,0.953,0.874,0.641,0.58,111,139.2646
0.627,0.325,0.411,0.127,0.247,614,623.9236666666667
0.347,0.425,0.219,0.139,0.847,375,389.176
0.003,0.041,0.985,0.081,0.233,402,411.9638
0.65,0.132,0.156,0.196,0.509,545,558.5048666666667
0.802,0.596,0.698,0.542,0.75,106,133.34973333333335
0.876,0.772,0.736,0.56,0.839,660,689.5013333333334
0.86,0.72,0.536,0.476,0.045,413,429.5011333333333
0.788,0.61,0.245,0.19,0.712,470,486.9512
0.581,0.641,0.667,0.504,0.502,352,368.22066666666666
0.29,0.165,0.07,0.067,0.115,518,521.7921333333334
0.811,0.004,0.954,0.965,0.357,106,127.76066666666667
0.666,0.007,0.833,0.596,0.631,146,166.92319999999998
0.913,0.391,0.033,0.323,0.716,161,178.33159999999998
0.326,0.402,0.681,0.445,0.925,548,570.9871999999999
0.064,0.933,0.472,0.702,0.296,148,172.9377333333333
0.019,0.182,0.218,0.875,0.788,144,161.51913333333331
0.638,0.32,0.762,0.661,0.565,139,161.2814
0.736,0.274,0.811,0.392,0.648,325,350.575
0.796,0.876,0.636,0.992,0.023,272,293.6321333333333
0.322,0.106,0.866,0.735,0.463,415,439.04273333333333
0.031,0.777,0.693,0.831,0.287,193,210.96906666666666
0.518,0.592,0.231,0.583,0.173,66,76.8112
0.521,0.445,0.727,0.016,0.127,137,145.00986666666668
0.514,0.597,0.839,0.631,0.022,225,243.29066666666665
0.48,0.207,0.232,0.264,0.553,317,334.3152
0.053,0.934,0.718,0.93,0.538,138,172.95000000000002
0.905,0.974,0.001,0.551,0.975,601,633.4543333333334
0.89,0.386,0.96,0.123,0.816,610,631.266
0.447,0.741,0.695,0.904,0.98,709,736.566
0.261,0.504,0.967,0.549,0.278,572,591.6485333333333
0.808,0.098,0.938,0.799,0.374,136,160.28293333333335
0.464,0.541,0.117,0.074,0.621,309,320.65560000000005
0.783,0.456,0.248,0.363,0.222,325,336.0022
0.551,0.177,0.377,0.49,0.113,418,431.98706666666664
0.117,0.037,0.771,0.197,0.151,176,182.2054
0.241,0.225,0.901,0.587,0.823,500,528.2567333333334
0.061,0.948,0.2,0.321,0.964,412,432.209
0.604,0.901,0.912,0.659,0.772,701,729.7070666666666
0.853,0.815,0.051,0.491,0.303,487,498.007
0.975,0.238,0.358,0.62,0.342,565,583.3543333333333
0.244,0.408,0.962,0.481,0.505,549,564.6706666666666
