Puffer1,Puffer2,Puffer3,Puffer4,Puffer5,Prozessdauer,Gesamtzeit
0.935,0.558,0.426,0.145,0.393,170,184.0976
0.82,0.264,0.07,0.795,0.027,262,274.02006666666665
0.856,0.737,0.617,0.032,0.204,195,203.5264
0.455,0.555,0.428,0.541,0.839,675,697.7130666666667
0.036,0.334,0.502,0.447,0.375,181,195.48673333333335
0.123,0.231,0.571,0.56,0.024,370,382.73186666666663
0.342,0.483,0.186,0.767,0.242,210,226.7936
0.218,0.949,0.979,0.998,0.375,588,612.7520000000001
0.362,0.59,0.048,0.83,0.012,285,293.4433333333333
0.48,0.103,0.747,0.749,0.866,371,396.97426666666667
0.542,0.847,0.227,0.383,0.133,108,119.2508
0.543,0.703,0.716,0.65,0.947,629,661.7717333333334
0.524,0.129,0.101,0.416,0.69,687,703.1174
0.103,0.344,0.47,0.996,0.897,472,492.6286666666667
0.128,0.56,0.631,0.939,0.081,173,190.038
0.415,0.84,0.842,0.441,0.238,631,642.615
0.352,0.815,0.834,0.95,0.33,408,433.16613333333333
0.725,0.099,0.682,0.19,0.347,719,736.4848000000001
0.603,0.342,0.06,0.48,0.327,436,445.0396
0.754,0.212,0.571,0.803,0.193,343,363.26160000000004
0.225,0.094,0.487,0.416,0.246,500,510.4896
0.042,0.146,0.734,0.075,0.425,95,104.922
0.247,0.584,0.939,0.029,0.554,155,174.93040000000002
0.44,0.718,0.29,0.617,0.355,648,663.3758
0.485,0.064,0.191,0.068,0.193,539,544.9767333333334
0.692,0.619,0.498,0.101,0.849,451,470.9134
0.786,0.083,0.057,0.138,0.115,346,350.05
0.873,0.239,0.215,0.558,0.509,469,488.4159333333333
0.866,0.406,0.451,0.28,0.346,30,46.85886666666667
0.482,0.689,0.049,0.503,0.958,596,618.9033999999999
0.29,0.263,0.235,0.875,0.14,362,379.5444
0.949,0.859,0.763,0.359,0.581,253,277.1722
0.426,0.712,0.61,0.434,0.344,654,670.6506666666667
0.092,0.996,0.269,0.119,0.805,509,527.2336
0.029,0.836,0.319,0.204,0.416,692,707.1809333333333
0.615,0.007,0.768,0.263,0.74,347,366.981
0.504,0.536,0.799,0.785,0.752,409,439.44440000000003
0.512,0.397,0.782,0.353,0.363,274,290.96819999999997
0.513,0.349,0.317,0.74,0.915,452,474.6263333333334
0.728,0.414,0.411,0.148,0.431,338,353.86986666666667
0.843,0.747,0.63,0.961,0.89,203,228.87673333333333
0.411,0.368,0.035,0.145,0.936,540,555.1946666666668
0.227,0.323,0.146,0.821,0.48,704,723.1196666666666
0.774,0.313,0.977,0.9,0.886,418,454.25893333333335
0.857,0.284,0.039,0.955,0.023,572,589.1612666666666
0.593,0.136,0.039,0.602,0.466,627,638.8213333333333
0.362,0.515,0.125,0.208,0.556,359,371.9096
0.52,0.65,0.636,0.516,0.837,164,195.26126666666667
0.574,0.311,0.338,0.338,0.154,315,321.6424
0.107,0.202,0.664,0.684,0.27,169,188.32773333333333
0.94,0.622,0.608,0.774,0.93,320,341.1572
0.333,0.892,0.532,0.156,0.998,201,223.38479999999998
0.205,0.346,0.853,1.0,0.126,531,549.8673333333332
0.414,0.654,0.307,0.067,0.767,540,563.3861333333333
0.097,0.152,0.369,0.407,0.433,300,311.3088
0.75,0.432,0.305,0.407,0.603,86,105.12533333333333
0.282,0.446,0.072,0.855,0.845,428,451.491
0.035,0.31,0.377,0.618,0.468,275,291.27506666666665
0.945,0.537,0.662,0.412,0.324,324,344.3644
0.762,0.35,0.895,0.026,0.912,418,436.20939999999996
0.964,0.529,0.317,0.631,0.387,523,543.3141333333333
0.888,0.614,0.674,0.539,0.023,55,69.52706666666667
0.723,0.383,0.887,0.513,0.298,356,375.9992
0.803,0.897,0.329,0.338,0.909,206,227.49026666666666
0.371,0.609,0.907,0.748,0.821,152,181.6582
0.674,0.851,0.031,0.978,0.237,34,49.636399999999995
0.825,0.229,0.62,0.114,0.374,282,299.8654
0.938,0.645,0.717,0.004,0.834,253,267.846
0.172,0.758,0.799,0.275,0.71,579,597.0523333333333
