Puffer1,Puffer2,Puffer3,Puffer4,Puffer5,Prozessdauer,Gesamtzeit
0.625,0.187,0.664,0.15,0.673,97,101.63733333333334
0.669,0.667,0.182,0.591,0.706,652,659.3172666666667
0.564,0.514,0.757,0.708,0.32,674,681.742
0.121,0.271,0.035,0.272,0.292,449,454.5266666666667
0.124,0.802,0.653,0.773,0.181,312,319.17173333333335
0.186,0.724,0.141,0.284,0.051,609,611.9882666666666
0.313,0.983,0.276,0.965,0.979,288,300.6528
0.116,0.017,0.666,0.985,0.338,642,647.1853333333333
0.221,0.916,0.045,0.192,0.214,267,272.9048
0.725,0.78,0.403,0.07,0.896,465,471.0529333333333
0.859,0.456,0.017,0.691,0.056,426,430.866
0.932,0.994,0.347,0.47,0.047,539,544.6709333333333
0.447,0.18,0.095,0.336,0.205,649,651.9995333333333
0.782,0.202,0.382,0.695,0.055,145,149.66873333333334
0.986,0.038,0.735,0.567,0.092,138,145.59366666666665
0.496,0.545,0.888,0.735,0.08,558,570.144
0.594,0.404,0.749,0.639,0.904,498,509.44
0.047,0.151,0.843,0.692,0.061,632,636.7608
0.125,0.111,0.752,0.187,0.981,527,540.76
0.27,0.08,0.498,0.32,0.198,275,280.0328
0.389,0.511,0.877,0.388,0.297,421,429.9667333333333
0.367,0.763,0.552,0.15,0.67,80,86.99906666666666
0.499,0.827,0.171,0.23,0.097,255,259.3424
0.638,0.681,0.506,0.703,0.819,528,541.2049999999999
0.593,0.481,0.487,0.862,0.787,308,316.3192
0.065,0.051,0.343,0.465,0.232,76,80.216
0.259,0.729,0.237,0.537,0.284,245,248.99733333333333
0.943,0.821,0.853,0.643,0.85,621,632.966
0.672,0.078,0.451,0.515,0.704,692,699.2436
0.76,0.531,0.511,0.583,0.558,91,102.30266666666667
0.473,0.115,0.366,0.336,0.486,609,614.575
0.61,0.265,0.176,0.996,0.345,106,118.7868
0.62,0.864,0.986,0.99,0.072,145,154.62599999999998
0.774,0.389,0.539,0.246,0.608,687,695.1520666666667
0.94,0.687,0.853,0.945,0.384,515,523.4584
0.358,0.586,0.772,0.947,0.01,159,166.17173333333332
0.851,0.856,0.754,0.959,0.234,534,545.1418
0.391,0.031,0.168,0.256,0.977,268,278.0701333333334
0.73,0.577,0.319,0.581,0.642,679,685.6999999999999
0.966,0.614,0.464,0.697,0.75,176,194.89813333333333
0.632,0.648,0.296,0.387,0.72,521,531.0877333333334
0.749,0.044,0.82,0.828,0.918,48,68.90480000000001
0.069,0.114,0.006,0.637,0.687,85,90.03840000000001
0.359,0.855,0.27,0.978,0.692,675,690.7182
0.112,0.099,0.013,0.994,0.962,46,58.789
0.465,0.84,0.263,0.285,0.258,194,199.364
0.659,0.392,0.303,0.194,0.643,464,471.1887333333333
0.295,0.981,0.425,0.781,0.663,372,386.62413333333336
0.181,0.776,0.729,0.538,0.098,137,141.37466666666666
0.858,0.26,0.416,0.62,0.595,272,283.3134
0.791,0.013,0.559,0.157,0.362,384,390.576
