Puffer1,Puffer2,Puffer3,Puffer4,Puffer5,Prozessdauer,Gesamtzeit
0.972,0.795,0.672,0.134,0.26,652,673.38
0.111,0.326,0.394,0.189,0.339,178,193.53253333333333
0.723,0.065,0.815,0.747,0.595,364,397.957
0.634,0.486,0.862,0.984,0.447,77,117.76113333333333
0.122,0.647,0.712,0.643,0.688,463,494.88
0.41,0.773,0.916,0.281,0.739,277,309.3782
0.578,0.662,0.494,0.797,0.7,466,501.5877333333333
0.978,0.525,0.381,0.505,0.796,504,529.6788
0.843,0.153,0.94,0.982,0.652,123,163.1652
0.346,0.938,0.179,0.912,0.636,40,73.23493333333333
0.394,0.594,0.321,0.66,0.823,368,406.44
0.6,0.626,0.486,0.16,0.884,88,115.9
0.94,0.377,0.501,0.476,0.119,459,480.64480000000003
0.619,0.2,0.022,0.282,0.224,146,156.2212
0.183,0.757,0.225,0.5,0.344,526,548.3373333333333
0.375,0.974,0.727,0.385,0.086,121,143.87480000000002
0.145,0.294,0.69,0.924,0.429,303,322.59306666666663
0.802,0.669,0.865,0.977,0.027,85,107.8228
0.048,0.592,0.463,0.251,0.393,316,335.006
0.318,0.175,0.295,0.987,0.916,621,654.6033333333332
0.934,0.689,0.149,0.005,0.12,712,724.3896666666666
0.924,0.685,0.1,0.633,0.247,294,312.2348666666667
0.728,0.163,0.475,0.308,0.393,90,113.0824
0.021,0.559,0.104,0.862,0.77,484,512.5800666666667
0.72,0.998,0.025,0.16,0.281,154,169.4752
0.616,0.223,0.406,0.169,0.217,670,684.5476
0.308,0.653,0.472,0.717,0.607,634,659.6079333333333
0.894,0.908,0.105,0.899,0.65,290,328.82593333333335
0.035,0.427,0.479,0.428,0.184,60,78.50986666666667
0.944,0.096,0.106,0.868,0.393,153,175.51059999999998
0.436,0.519,0.746,0.368,0.559,353,378.5328
0.953,0.592,0.104,0.57,0.529,255,282.52959999999996
0.223,0.628,0.352,0.922,0.917,395,430.3061333333334
0.747,0.219,0.476,0.128,0.725,368,391.40000000000003
0.457,0.8,0.677,0.941,0.92,183,223.67653333333334
0.512,0.962,0.481,0.316,0.202,495,510.5876
0.815,0.063,0.995,0.666,0.288,141,165.09
0.883,0.041,0.827,0.752,0.058,70,98.3248
0.345,0.537,0.212,0.21,0.43,415,432.8256666666666
0.718,0.015,0.875,0.193,0.464,574,596.8430000000001
0.978,0.603,0.992,0.573,0.59,618,646.4321333333334
0.155,0.176,0.354,0.797,0.275,196,217.6664
0.432,0.242,0.911,0.544,0.612,311,343.5783333333333
0.687,0.726,0.838,0.853,0.511,92,117.48800000000001
0.173,0.077,0.585,0.134,0.809,64,88.431
0.153,0.783,0.009,0.914,0.042,35,57.07386666666667
0.358,0.699,0.376,0.34,0.731,87,113.8566
0.428,0.44,0.962,0.349,0.945,371,417.07366666666667
0.661,0.009,0.217,0.142,0.031,652,657.6115333333333
0.464,0.717,0.552,0.723,0.472,522,546.0697333333334
0.966,0.489,0.385,0.974,0.159,454,485.16
0.706,0.725,0.395,0.877,0.623,496,532.5346666666667
0.581,0.497,0.946,0.502,0.67,395,428.2214
0.789,0.622,0.574,0.797,0.249,563,599.0272
0.218,0.328,0.996,0.358,0.356,254,275.22200000000004
0.41,0.232,0.108,0.911,0.016,149,162.12533333333332
0.948,0.899,0.776,0.743,0.514,196,228.55573333333334
0.876,0.78,0.827,0.25,0.668,601,635.5594666666667
0.053,0.297,0.802,0.619,0.337,162,180.27546666666666
0.211,0.902,0.73,0.659,0.911,651,687.4671999999999
0.143,0.784,0.48,0.387,0.851,700,729.8466666666667
0.24,0.451,0.857,0.797,0.35,151,178.10646666666665
0.107,0.437,0.008,0.121,0.916,258,284.299
0.574,0.038,0.972,0.114,0.724,445,468.9449333333333
0.806,0.327,0.646,0.409,0.934,649,683.9344
0.65,0.028,0.234,0.927,0.577,352,376.003
0.566,0.335,0.991,0.599,0.695,283,307.86400000000003
0.634,0.031,0.878,0.024,0.813,87,105.97720000000001
0.409,0.637,0.142,0.545,0.948,650,678.2908666666667
0.742,0.715,0.791,0.233,0.331,485,509.24879999999996
0.961,0.159,0.841,0.888,0.301,302,334.48299999999995
0.77,0.826,0.491,0.913,0.902,67,118.44319999999999
0.056,0.483,0.41,0.724,0.427,557,580.3056
0.066,0.966,0.379,0.106,0.592,301,320.557
0.863,0.212,0.299,0.539,0.08,228,245.064
0.583,0.765,0.549,0.415,0.73,241,269.4193333333333
0.118,0.801,0.035,0.8,0.658,152,180.27100000000002
0.662,0.384,0.4,0.477,0.771,43,72.65526666666666
0.339,0.404,0.662,0.086,0.095,701,713.3829333333333
0.179,0.321,0.739,0.248,0.343,347,367.29900000000004
0.294,0.577,0.403,0.492,0.032,667,683.907
0.433,0.395,0.627,0.775,0.455,688,712.8717333333333
0.304,0.953,0.12,0.555,0.823,286,310.93399999999997
0.159,0.408,0.213,0.48,0.014,502,513.7730666666666
0.449,0.095,0.231,0.899,0.092,475,491.5232
0.351,0.955,0.532,0.534,0.22,214,237.64333333333332
0.128,0.937,0.045,0.123,0.723,423,447.14346666666665
0.454,0.229,0.235,0.985,0.714,103,129.16406666666666
0.915,0.697,0.78,0.364,0.785,129,154.40933333333334
0.224,0.056,0.609,0.421,0.167,310,326.85519999999997
0.42,0.33,0.047,0.736,0.214,531,548.101
0.857,0.149,0.627,0.62,0.32,476,503.5152
0.66,0.927,0.825,0.986,0.975,687,721.9802666666667
0.153,0.091,0.341,0.13,0.382,567,580.1317333333333
0.396,0.384,0.956,0.925,0.49,282,322.728
0.713,0.282,0.675,0.142,0.807,442,473.093
0.409,0.167,0.503,0.612,0.858,304,342.9566666666667
0.869,0.067,0.48,0.029,0.417,553,567.2416
0.848,0.777,0.634,0.335,0.868,312,353.2672
0.293,0.95,0.984,0.828,0.427,310,350.2496
