Puffer1,Puffer2,Puffer3,Puffer4,Puffer5,Prozessdauer,Gesamtzeit
0.998,0.964,0.437,0.292,0.789,143,184.76333333333332
0.606,0.774,0.858,0.95,0.83,432,479.33119999999997
0.434,0.372,0.685,0.813,0.18,675,705.5246666666667
0.97,0.919,0.866,0.569,0.315,520,557.6451333333333
0.838,0.889,0.446,0.435,0.208,676,700.2424
0.286,0.309,0.626,0.326,0.33,459,480.032
0.209,0.281,0.842,0.252,0.98,343,379.2063333333333
0.271,0.171,0.308,0.761,0.042,115,132.2476
0.674,0.391,0.353,0.055,0.077,662,675.5200000000001
0.386,0.003,0.16,0.533,0.621,427,447.77059999999994
0.285,0.181,0.898,0.488,0.811,460,501.7544
0.762,0.554,0.97,0.047,0.798,30,68.22080000000001
0.406,0.843,0.781,0.181,0.53,166,201.4008
0.839,0.63,0.593,0.26,0.226,240,264.192
0.099,0.347,0.821,0.262,0.013,190,204.27206666666666
0.393,0.461,0.527,0.994,0.574,241,286.4626666666666
0.56,0.606,0.506,0.784,0.584,137,175.63013333333333
0.302,0.271,0.924,0.757,0.467,430,462.3244
0.55,0.17,0.656,0.41,0.796,433,465.7816
0.853,0.211,0.974,0.796,0.939,711,748.0330666666667
0.178,0.225,0.305,0.348,0.025,340,352.64799999999997
0.45,0.688,0.119,0.449,0.056,118,133.3324
0.519,0.854,0.074,0.145,0.881,249,285.1788
0.744,0.61,0.28,0.111,0.217,245,260.88766666666663
0.379,0.567,0.477,0.774,0.69,612,655.0213333333332
0.277,0.455,0.98,0.308,0.606,134,172.03013333333334
0.335,0.387,0.369,0.427,0.246,641,659.2108
0.907,0.44,0.002,0.903,0.865,381,414.73066666666665
0.983,0.063,0.09,0.343,0.076,171,181.6454
0.602,0.979,0.836,0.251,0.869,523,561.8901333333333
0.124,0.187,0.923,0.262,0.771,339,368.95666666666665
0.211,0.269,0.561,0.377,0.996,555,591.2746666666667
0.653,0.989,0.557,0.073,0.795,39,73.84726666666667
0.199,0.229,0.97,0.012,0.893,315,347.32
0.35,0.401,0.187,0.472,0.329,193,215.0332
0.704,0.523,0.283,0.814,0.783,184,222.42866666666666
0.362,0.524,0.684,0.317,0.536,542,575.098
0.349,0.278,0.28,0.321,0.433,238,254.27453333333335
0.363,0.724,0.159,0.211,0.92,464,497.50533333333334
0.541,0.25,0.579,0.07,0.986,403,435.48453333333333
0.34,0.047,0.965,0.431,0.225,247,275.00693333333334
0.573,0.081,0.866,0.661,0.401,375,406.3958666666667
0.193,0.882,0.643,0.185,0.501,167,200.7534
0.208,0.37,0.498,0.454,0.271,537,560.9488
0.965,0.843,0.797,0.153,0.602,717,748.1904000000001
0.489,0.204,0.17,0.632,0.701,39,69.752
0.517,0.471,0.738,0.747,0.572,40,69.83246666666666
0.585,0.377,0.084,0.33,0.062,467,482.24606666666665
0.472,0.845,0.812,0.548,0.962,91,133.53333333333333
0.562,0.724,0.938,0.217,0.742,599,637.2348
0.128,0.469,0.128,0.612,0.271,399,423.1638
0.953,0.684,0.788,0.705,0.28,520,555.0263333333334
0.849,0.422,0.58,0.037,0.68,171,196.1316
0.235,0.219,0.745,0.922,0.098,427,454.3992
0.638,0.993,0.953,0.239,0.942,377,407.4739333333334
0.025,0.179,0.198,0.835,0.217,155,178.40866666666668
0.894,0.772,0.354,0.232,0.185,114,136.12573333333333
0.695,0.901,0.686,0.529,0.087,683,714.7401333333333
0.691,0.391,0.497,0.978,0.982,703,766.6444
0.358,0.151,0.042,0.77,0.094,423,441.78933333333333
0.206,0.609,0.572,0.498,0.068,346,367.88800000000003
0.068,0.96,0.204,0.228,0.964,312,349.7717333333333
0.953,0.359,0.396,0.935,0.44,249,284.7826
0.992,0.234,0.155,0.361,0.713,394,423.1228
0.108,0.121,0.239,0.596,0.471,37,62.159333333333336
0.326,0.714,0.097,0.499,0.379,464,488.1397333333333
0.141,0.736,0.02,0.182,0.751,187,213.2656
0.204,0.438,0.023,0.715,0.708,435,466.7058
0.803,0.863,0.253,0.93,0.227,680,713.1148666666667
0.977,0.379,0.326,0.16,0.013,651,662.6211999999999
0.671,0.446,0.683,0.769,0.326,674,708.9356
0.013,0.641,0.136,0.408,0.549,714,743.5893333333333
0.038,0.924,0.311,0.385,0.875,379,406.9488
0.74,0.93,0.497,0.493,0.958,197,244.02966666666669
0.593,0.5,0.895,0.051,0.356,558,588.0576
0.679,0.094,0.116,0.962,0.808,208,247.44633333333334
0.122,0.611,0.805,0.04,0.989,307,355.45653333333337
0.718,0.875,0.64,0.276,0.012,265,286.46773333333334
0.759,0.299,0.843,0.73,0.166,47,78.05306666666667
0.093,0.395,0.724,0.014,0.616,171,201.54226666666668
0.563,0.512,0.732,0.671,0.766,290,331.188
0.289,0.075,0.615,0.696,0.995,708,755.5368666666667
0.506,0.017,0.301,0.139,0.237,54,68.0096
0.61,0.625,0.934,0.035,0.878,405,446.67040000000003
0.464,0.556,0.633,0.719,0.887,140,185.3012
0.224,0.336,0.518,0.464,0.315,290,314.7002
0.688,0.523,0.35,0.326,0.908,306,342.2376
0.126,0.949,0.468,0.74,0.092,627,654.3919999999999
0.785,0.863,0.162,0.61,0.052,274,295.2688
0.243,0.506,0.192,0.395,0.853,57,87.70400000000001
0.97,0.705,0.226,0.558,0.125,420,442.47700000000003
0.958,0.581,0.303,0.102,0.554,268,289.9314
0.58,0.464,0.882,0.806,0.748,87,135.9192
0.219,0.009,0.92,0.834,0.489,257,292.6972
0.487,0.535,0.496,0.442,0.906,214,255.73206666666667
0.046,0.731,0.118,0.856,0.068,443,462.87853333333334
0.543,0.603,0.766,0.093,0.603,38,69.2228
0.495,0.579,0.342,0.949,0.23,302,331.9916666666667
0.964,0.69,0.2,0.944,0.728,267,302.224
0.997,0.406,0.624,0.622,0.371,377,409.096
