Puffer1,Puffer2,Puffer3,Puffer4,Puffer5,Prozessdauer,Gesamtzeit
0.294,0.637,0.806,0.746,0.352,265,274.894
0.679,0.088,0.429,0.719,0.884,593,614.3928
0.144,0.642,0.305,0.166,0.964,623,636.045
0.698,0.451,0.654,0.858,0.866,305,330.66773333333333
0.834,0.983,0.267,0.64,0.259,119,128.94133333333335
0.71,0.478,0.877,0.825,0.656,647,658.6021333333333
0.379,0.363,0.393,0.109,0.036,378,381.8666666666667
0.366,0.386,0.442,0.202,0.84,563,579.9365333333333
0.623,0.007,0.081,0.335,0.733,465,475.2006666666667
0.292,0.547,0.606,0.717,0.485,647,659.4622666666667
0.382,0.391,0.872,0.876,0.729,490,506.02919999999995
0.908,0.673,0.106,0.219,0.512,461,470.6128
0.533,0.862,0.71,0.446,0.271,524,537.5468
0.019,0.273,0.671,0.112,0.255,310,316.8816
0.471,0.287,0.112,0.744,0.486,337,351.4789333333333
0.086,0.983,0.599,0.639,0.345,458,472.092
0.771,0.086,0.003,0.197,0.61,449,456.66400000000004
0.478,0.49,0.503,0.897,0.831,415,436.41999999999996
0.034,0.327,0.929,0.695,0.93,600,613.8130000000001
0.908,0.829,0.319,0.129,0.55,142,153.315
0.221,0.554,0.075,0.896,0.297,147,162.45366666666666
0.473,0.952,0.386,0.385,0.711,203,219.10933333333332
0.083,0.747,0.189,0.005,0.104,591,597.0837333333334
0.581,0.33,0.389,0.035,0.138,612,617.3966666666668
0.926,0.569,0.329,0.168,0.345,513,518.8112000000001
0.841,0.225,0.893,0.529,0.946,147,165.02666666666664
0.886,0.787,0.833,0.662,0.461,346,365.1632
0.401,0.083,0.24,0.829,0.784,306,325.887
0.492,0.547,0.563,0.571,0.863,70,87.11493333333333
0.251,0.498,0.421,0.382,0.93,507,520.3216
0.749,0.963,0.32,0.699,0.319,102,111.63119999999999
0.184,0.192,0.889,0.318,0.105,391,397.7093333333333
0.831,0.533,0.209,0.34,0.291,710,719.2542666666667
0.037,0.407,0.253,0.106,0.689,648,661.1496
0.066,0.324,0.349,0.912,0.539,700,712.9663999999999
0.405,0.738,0.218,0.807,0.439,633,652.0992
0.645,0.311,0.545,0.918,0.629,498,507.07106666666664
0.693,0.912,0.306,0.144,0.077,542,551.0850666666668
0.382,0.83,0.877,0.412,0.814,154,167.1619333333333
0.936,0.699,0.205,0.043,0.676,408,415.80120000000005
0.9,0.661,0.584,0.245,0.463,256,259.3922
0.744,0.676,0.131,0.526,0.466,325,333.76913333333334
0.893,0.946,0.885,0.593,0.678,506,529.1508
0.539,0.334,1.0,0.839,0.491,423,434.35373333333337
0.907,0.137,0.347,0.95,0.739,568,582.8994
0.615,0.314,0.157,0.649,0.409,408,417.7443333333334
0.533,0.107,0.803,0.291,0.345,302,316.105
0.132,0.191,0.432,0.04,0.806,97,109.0
0.489,0.385,0.438,0.12,0.543,57,68.92053333333334
0.944,0.184,0.884,0.612,0.626,277,301.8092
0.92,0.446,0.97,0.335,0.355,371,384.06166666666667
0.448,0.249,0.564,0.065,0.984,544,561.1996
0.413,0.947,0.413,0.606,0.954,178,199.48000000000002
0.181,0.824,0.949,0.643,0.519,509,528.686
0.575,0.712,0.309,0.645,0.191,137,147.3376
0.426,0.48,0.651,0.136,0.979,125,133.778
0.428,0.773,0.233,0.593,0.501,460,477.11333333333334
0.571,0.833,0.792,0.028,0.041,335,343.5453333333333
0.66,0.144,0.557,0.899,0.909,141,153.91199999999998
0.769,0.127,0.794,0.887,0.051,344,358.8965333333333
0.441,0.06,0.235,0.218,0.351,433,440.786
0.211,0.447,0.306,0.903,0.787,478,490.76
0.537,0.77,0.718,0.901,0.277,384,397.5226666666666
0.374,0.859,0.186,0.069,0.771,330,340.39753333333334
0.238,0.682,0.101,0.785,0.95,642,660.284
0.982,0.5,0.299,0.587,0.714,30,47.00753333333333
0.802,0.258,0.513,0.809,0.633,668,686.516
0.217,0.876,0.763,0.362,0.682,688,706.8397333333334
0.572,0.222,0.468,0.216,0.281,387,393.252
